work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1.0,2,2,57,0.004722569604423089,21,0.18152866242038215,84,0.0,74,1
1.0,2,2,57,0.0044724544197985916,21,0.1718471337579618,84,0.0,74,1
1.0,3,2,46,0.005101033370631211,21,0.19617834394904457,84,0.0,74,1
1.0,3,2,46,0.0029948002369512275,21,0.11464968152866242,84,0.0,74,1
1.0,3,2,57,0.0044104850918186,21,0.1694484076433121,84,1.0,74,1
1.0,3,2,57,0.0024046929507009806,21,0.09180764331210191,84,1.0,74,1
1.0,2,2,92,0.003038767853616797,21,0.1163515923566879,12,0.0,11,1
1.0,2,2,92,0.002275719081155795,21,0.08681528662420382,12,0.0,11,1
1.0,2,2,53,0.0038175475547949714,21,0.1464968152866242,84,1.0,74,1
1.0,2,2,53,0.002534061738958731,21,0.09681528662420381,84,1.0,74,1
1.0,3,2,46,0.004473277167116435,21,0.17187898089171974,84,0.0,74,1
1.0,3,2,46,0.002542618311064306,21,0.09714649681528661,84,0.0,74,1
1.0,3,2,116,0.005627591654051208,21,0.2165605095541401,84,0.0,74,1
1.0,3,2,116,0.00036200881985124726,21,0.012738853503184714,84,0.0,74,1
1.0,3,2,90,0.004640294872638715,21,0.17834394904458598,84,1.0,74,1
1.0,3,2,90,0.0034884486276574736,21,0.1337579617834395,84,1.0,74,1
1.0,3,2,116,0.0064404660040808265,21,0.24802547770700634,84,0.0,74,1
1.0,3,2,116,0.004298031988415717,21,0.1650955414012739,84,0.0,74,1
1.0,3,2,54,0.00529849272691371,21,0.2038216560509554,84,0.0,74,1
1.0,3,2,54,0.0033897189495162242,21,0.12993630573248408,84,0.0,74,1
1.0,2,2,46,0.0020825380109260844,21,0.0793375796178344,84,0.0,74,1
1.0,2,2,46,0.001448035279404989,21,0.05477707006369427,84,0.0,74,1
1.0,3,2,57,0.005140525241887711,21,0.19770700636942673,84,1.0,74,1
1.0,3,2,57,0.003679326005397222,21,0.14114649681528663,84,1.0,74,1
1.0,3,2,54,0.00621108405186599,21,0.2391464968152866,84,1.0,74,1
1.0,3,2,54,0.002570854999012703,21,0.09823949044585988,84,1.0,74,1
1.0,2,2,46,0.003652998091226222,21,0.14012738853503184,84,1.0,74,1
1.0,2,2,46,0.0028302507733824786,21,0.10828025477707007,84,1.0,74,1
1.0,3,2,17,0.006121240044757454,21,0.2356687898089172,84,1.0,74,1
1.0,3,2,17,0.004804844336207464,21,0.18471337579617833,84,1.0,74,1
1.0,2,2,90,0.004710853682616994,21,0.18107515923566878,84,0.0,74,1
1.0,2,2,90,0.002603205423550319,21,0.09949171974522293,84,0.0,74,1
1.0,3,2,90,0.006417429079181201,2,0.18569299363057323,12,0.0,11,1
1.0,3,2,90,0.004475745409069966,2,0.1278777070063694,12,0.0,11,1
